Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn
2014460236841,51.076302,1.165737,South East England,Urban,A,7,30,Single carriageway,Wet or damp,Fine,No,Daylight,2014-01-10 07:35:00,2014,4,1,10,5,0.316000,2,4,10,Crossroads,Mid Junction - on roundabout or on main road,Front,Commuting to/from work,955,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,8.000000
201145TA58811,51.146214,-0.251505,South East England,Rural,Unclassified,6,40,Single carriageway,Frost or ice,Fine,No,Daylight,2011-03-03 07:25:00,2011,4,3,3,4,0.309000,1,4,8,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Commuting to/from work,1360,Petrol,Citroen,Car,Going ahead,Slight,7.000000
2011070275507,53.263551,-2.123052,North West England,Urban,A,7,30,Roundabout,Dry,Fine,No,Daylight,2011-09-28 09:05:00,2011,3,9,28,3,0.378000,2,5,15,Roundabout,Entering roundabout,Back,Other/Not known,1119,Petrol,Ford,Car,Waiting to go,Slight,9.000000
20134100T2086,51.866331,-0.197280,East England,Rural,A(M),4,70,Dual carriageway,Dry,Fine,No,Daylight,2013-08-11 14:19:00,2013,2,8,11,7,0.597000,3,6,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Journey as part of work,2198,Petrol,Vauxhall,Car,Going ahead,Slight,14.000000
2012070070092,53.140741,-2.250070,North West England,Rural,A,7,60,Single carriageway,Dry,Fine,No,Daylight,2012-03-13 14:35:00,2012,4,3,13,2,0.608000,2,8,5,T or staggered junction,Entering main road,Offside,Other/Not known,1198,Petrol,Volkswagen,Car,Turning right,Slight,15.000000
201001ZD30408,51.406287,-0.084587,London,Urban,A,10,30,Single carriageway,Dry,Fine,No,Daylight,2010-05-22 10:10:00,2010,1,5,22,6,0.424000,3,2,7,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,1390,Petrol,Volkswagen,Car,Slowing or stopping,Slight,10.000000
2014440200860,50.848627,-1.123975,South East England,Urban,Unclassified,8,30,Single carriageway,Dry,Fine,No,Daylight,2014-06-07 18:20:00,2014,1,6,7,6,0.764000,2,1,8,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1396,Petrol,Other,Car,Going ahead,Fatal_Serious,18.000000
2013130191219,53.674145,-1.500608,Yorkshire and the Humber,Urban,Unclassified,9,30,Single carriageway,Dry,Fine,No,Darkness - lighting unknown,2013-05-08 18:15:00,2013,1,5,8,3,0.760000,1,1,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1560,Heavy oil,Ford,Car,Going ahead,Slight,18.000000
2014074333537,53.393833,-2.593982,North West England,Urban,C,3,30,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2014-11-09 16:27:00,2014,3,11,9,7,0.685000,2,2,3,Crossroads,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1229,Petrol,Vauxhall,Car,Going ahead,Slight,16.000000
2010460181622,51.345202,0.705129,South East England,Urban,A,6,30,Single carriageway,Snow,Snowing,No,Daylight,2010-01-06 14:54:00,2010,4,1,6,3,0.621000,3,1,14,Other junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1870,Heavy oil,Renault,Car,Going ahead,Slight,15.000000
2010471003553,50.819510,-0.136812,South East England,Urban,A,4,30,Roundabout,Dry,Fine,No,Daylight,2010-06-02 11:30:00,2010,1,6,2,3,0.479000,2,4,4,Roundabout,Leaving roundabout,Offside,Other/Not known,1261,Petrol,Honda,Motorcycle,Moving off,Slight,11.000000
2012070305288,53.160918,-2.907529,North West England,Rural,Unclassified,10,30,Dual carriageway,Dry,Fine,No,Daylight,2012-10-23 17:25:00,2012,3,10,23,2,0.726000,2,2,4,Roundabout,Approaching junction or waiting/parked at junction approach,Offside,Commuting to/from work,1364,Petrol,Vauxhall,Car,Moving off,Slight,17.000000
201422G404816,52.657526,-2.393222,Wast Midlands,Rural,A,10,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2014-12-16 17:30:00,2014,3,12,16,2,0.729000,2,3,8,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,124,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,17.000000
2012460216653,51.294578,1.110011,South East England,Urban,A,7,40,Single carriageway,Dry,Fine,No,Daylight,2012-07-26 15:02:00,2012,2,7,26,4,0.626000,3,5,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1984,Petrol,Volkswagen,Car,Slowing or stopping,Slight,15.000000
2011370511511,52.066539,1.138301,East England,Urban,A,8,30,Single carriageway,Wet or damp,Raining,No,Darkness - lights,2011-12-12 20:50:00,2011,3,12,12,1,0.868000,2,6,9,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1590,Petrol,Honda,Car,Going ahead,Slight,21.000000
201450KU2R008,50.862401,-3.388081,South West England,Rural,Unclassified,10,30,Roundabout,Dry,Fine,No,Daylight,2014-05-18 10:52:00,2014,1,5,18,7,0.453000,1,5,16,Roundabout,Entering roundabout,Offside,Other/Not known,1180,Petrol,Other,Motorcycle,Going ahead,Slight,11.000000
201045WO48832,51.321826,-0.560430,South East England,Urban,C,9,30,Single carriageway,Dry,Fine,No,Daylight,2010-02-18 10:50:00,2010,4,2,18,4,0.451000,2,4,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1997,Heavy oil,Citroen,Car,Going ahead,Fatal_Serious,11.000000
2012130530862,53.742254,-2.024225,Yorkshire and the Humber,Rural,Unclassified,6,30,Single carriageway,Wet or damp,Snowing,No,Darkness - lights,2012-12-06 16:30:00,2012,3,12,6,4,0.688000,1,6,7,T or staggered junction,Cleared junction or waiting/parked at junction exit,Front,Other/Not known,1229,Petrol,Vauxhall,Car,Turning right,Fatal_Serious,17.000000
2011360062814,52.742700,0.380629,East England,Rural,A,9,40,Roundabout,Dry,Fine,No,Daylight,2011-09-25 12:25:00,2011,3,9,25,7,0.517000,2,5,1,Roundabout,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,1585,Petrol,Other,Motorcycle,Waiting to go,Fatal_Serious,12.000000
201101JC30265,51.573523,-0.017817,London,Urban,Unclassified,4,30,Single carriageway,Wet or damp,Raining,No,Daylight,2011-06-24 19:40:00,2011,2,6,24,5,0.819000,2,4,9,T or staggered junction,Mid Junction - on roundabout or on main road,Did not impact,Other/Not known,1998,Petrol,Toyota,Car,Turning left,Slight,20.000000
2011350745311,52.194875,0.132770,East England,Urban,Unclassified,8,30,Single carriageway,Dry,Fine,No,Daylight,2011-07-14 12:50:00,2011,2,7,14,4,0.535000,1,4,17,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1988,Petrol,Ford,Car,Going ahead,Slight,13.000000
2010360059514,52.753822,0.448223,East England,Rural,A,2,60,Roundabout,Dry,Fine,No,Daylight,2010-12-25 12:20:00,2010,4,12,25,6,0.514000,2,3,6,Roundabout,Entering roundabout,Offside,Other/Not known,2204,Heavy oil,Honda,Car,Moving off,Slight,12.000000
2013621300607,51.515648,-3.399490,Wales,Urban,Motorway,6,70,Dual carriageway,Dry,Fine,No,Daylight,2013-03-30 14:40:00,2013,1,3,30,6,0.611000,2,3,10,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1997,Heavy oil,Citroen,Car,Going ahead,Slight,15.000000
201005BB02306,53.647724,-2.970143,North West England,Urban,Unclassified,9,30,Single carriageway,Dry,Fine,No,Daylight,2010-03-18 12:30:00,2010,4,3,18,4,0.521000,4,2,1,Crossroads,Mid Junction - on roundabout or on main road,Front,Other/Not known,1596,Petrol,Ford,Car,Going ahead,Slight,13.000000
2010471008778,51.025927,0.060408,South East England,Rural,A,8,30,Single carriageway,Wet or damp,Fog or mist,No,Daylight,2010-12-28 13:00:00,2010,4,12,28,2,0.542000,2,2,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,2099,Petrol,Other,Car,Waiting to go,Slight,13.000000
