,Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn,IsMajor,WeekDay_type,isMotorcycle
392,201304BA13084,54.175102,-2.592833,North West England,Rural,A,6,60,Single carriageway,Dry,Fine,No,Daylight,2013-07-07 08:40:00,2013,2,7,7,7,0.361,1,5,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,636,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,9.0,1,0,1
393,201022D005087,52.335513,-2.047225,Wast Midlands,Urban,A,10,60,Single carriageway,Dry,Fine,No,Daylight,2010-10-08 13:06:00,2010,3,10,8,5,0.546,1,7,8,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1390,Petrol,Renault,Car,Going ahead,Slight,13.0,0,1,0
394,201401JC30103,51.566444,-0.035297,London,Urban,A,2,30,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2014-03-03 19:50:00,2014,4,3,3,1,0.826,2,4,13,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1999,Petrol,Ford,Car,Going ahead,Slight,20.0,0,1,0
395,2013521308453,51.522064,-2.550865,South West England,Urban,B,10,30,Roundabout,Dry,Fine,No,Darkness - lights,2013-11-22 18:00:00,2013,3,11,22,5,0.75,2,4,6,Roundabout,Entering roundabout,Front,Other/Not known,1992,Heavy oil,Mercedes,Car,Moving off,Fatal_Serious,18.0,1,1,0
396,201322C303846,52.192085,-2.174639,Wast Midlands,Rural,B,8,60,Single carriageway,Dry,Fine,No,Daylight,2013-10-15 10:00:00,2013,3,10,15,2,0.417,3,7,1,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1360,Petrol,Citroen,Car,Going ahead,Slight,10.0,0,1,0
397,2010130003064,53.817924,-1.6360299999999999,Yorkshire and the Humber,Urban,Unclassified,6,30,Single carriageway,Dry,Fine,No,Daylight,2010-04-28 13:55:00,2010,1,4,28,3,0.58,2,3,5,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Journey as part of work,1686,Heavy oil,Vauxhall,Car,Parked,Slight,14.0,0,1,0
398,201401PY20060,51.401014,0.087288,London,Urban,A,6,30,Roundabout,Wet or damp,Fine,No,Daylight,2014-02-08 10:20:00,2014,4,2,8,6,0.431,2,1,12,Roundabout,Mid Junction - on roundabout or on main road,Front,Other/Not known,1242,Petrol,Fiat,Car,Going ahead,Slight,10.0,0,0,0
399,201037G029690,51.969467,1.2485870000000001,East England,Rural,B,8,30,Single carriageway,Dry,Fine,No,Daylight,2010-07-06 18:43:00,2010,2,7,6,2,0.78,1,6,10,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Commuting to/from work,1199,Petrol,Vauxhall,Car,Going ahead,Fatal_Serious,19.0,1,1,0
400,201120T040951,52.463896,-1.848214,Wast Midlands,Urban,Unclassified,8,30,Single carriageway,Dry,Fine,No,Daylight,2011-05-17 08:40:00,2011,1,5,17,2,0.361,3,4,1,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Commuting to/from work,3200,Heavy oil,Other,Car,Parked,Slight,9.0,0,1,0
401,201232L140912,53.256246999999995,-0.732417,East Midlands,Rural,A,6,60,Single carriageway,Dry,Unknown,No,Daylight,2012-05-28 09:02:00,2012,1,5,28,1,0.376,2,5,13,Crossroads,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,2398,Petrol,Mercedes,Car,Going ahead,Fatal_Serious,9.0,1,1,0
402,201131C312511,52.995805000000004,-1.1972180000000001,East Midlands,Urban,Unclassified,1,30,Single carriageway,Dry,Fine,No,Daylight,2011-11-01 09:50:00,2011,3,11,1,2,0.41,1,1,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1389,Petrol,Vauxhall,Car,Going ahead,Slight,10.0,0,1,0
403,2011070045480,53.068251000000004,-2.4923189999999997,North West England,Rural,A,3,60,Single carriageway,Dry,Fine,No,Daylight,2011-02-18 16:10:00,2011,4,2,18,5,0.674,2,2,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1242,Petrol,Ford,Car,Slowing or stopping,Slight,16.0,0,1,0
404,201220M013862,52.385428000000005,-1.476604,Wast Midlands,Urban,B,7,40,Single carriageway,Dry,Fine,No,Daylight,2012-09-30 13:00:00,2012,3,9,30,7,0.542,2,7,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1360,Petrol,Peugeot,Car,Waiting to go,Slight,13.0,0,0,0
